CVE,CVSS version,CVSS,EPSS,EPSS percentile
CVE-2020-8816,cvssMetricV31,7.2,0.93364,0.9981
CVE-2020-9376,cvssMetricV31,7.5,0.91466,0.9966
CVE-2020-9483,cvssMetricV31,7.5,0.93367,0.99811
CVE-2020-9484,cvssMetricV31,7.0,0.93219,0.99797
CVE-2020-9496,cvssMetricV31,6.1,0.93987,0.99883
CVE-2021-1473,cvssMetricV31,5.3,0.9277,0.99755
CVE-2021-1499,cvssMetricV31,5.3,0.92931,0.99772
CVE-2021-1675,cvssMetricV31,7.8,0.94349,0.99952
CVE-2021-1732,cvssMetricV31,7.8,0.90082,0.99574
CVE-2021-20123,cvssMetricV31,7.5,0.93181,0.99793
CVE-2021-20124,cvssMetricV31,7.5,0.93733,0.99853
CVE-2021-21017,cvssMetricV31,8.8,0.90086,0.99574
CVE-2021-2109,cvssMetricV31,7.2,0.93777,0.99858
CVE-2021-21220,cvssMetricV31,8.8,0.92805,0.99758
CVE-2021-21234,cvssMetricV31,7.7,0.928,0.99758
CVE-2021-21287,cvssMetricV31,7.7,0.92089,0.99701
CVE-2021-21307,cvssMetricV31,8.6,0.92969,0.99775
CVE-2021-21315,cvssMetricV31,7.1,0.94029,0.99889
CVE-2021-21389,cvssMetricV31,8.1,0.91516,0.99663
CVE-2021-21402,cvssMetricV31,7.7,0.92334,0.9972
CVE-2021-21975,cvssMetricV31,7.5,0.94386,0.99965
CVE-2021-22204,cvssMetricV31,6.8,0.93216,0.99796
CVE-2021-22214,cvssMetricV31,6.8,0.93791,0.9986
CVE-2021-22883,cvssMetricV31,7.5,0.92727,0.99751
CVE-2021-24145,cvssMetricV31,7.2,0.91662,0.99671
CVE-2021-24155,cvssMetricV31,7.2,0.92488,0.99732
CVE-2021-25094,cvssMetricV31,8.1,0.90273,0.99584
CVE-2021-25296,cvssMetricV31,8.8,0.93349,0.99808
CVE-2021-25646,cvssMetricV31,8.8,0.94334,0.99945
CVE-2021-26085,cvssMetricV31,5.3,0.94328,0.99943
CVE-2021-26086,cvssMetricV31,5.3,0.94341,0.99948
